example_id                                                    | status  | run_time        |
./out/test/kitboxer/models/purchase_spec.rb[1:1]              | pending | 0.00002 seconds |
./out/test/kitboxer/models/rating_spec.rb[1:1]                | pending | 0.00002 seconds |
./out/test/kitboxer/models/review_spec.rb[1:1]                | pending | 0.00001 seconds |
./out/test/kitboxer/models/step_spec.rb[1:1]                  | pending | 0.00001 seconds |
./out/test/kitboxer/models/store_spec.rb[1:1]                 | passed  | 0.08854 seconds |
./out/test/kitboxer/models/subscription_spec.rb[1:1]          | pending | 0.00002 seconds |
./out/test/kitboxer/models/user_spec.rb[1:1]                  | passed  | 0.00526 seconds |
./out/test/kitboxer/models/user_spec.rb[1:2]                  | passed  | 0.00576 seconds |
./spec/features/carts/carts_spec.rb[1:1]                      | failed  | 1.24 seconds    |
./spec/features/users/sign_in_spec.rb[1:1]                    | failed  | 0.11396 seconds |
./spec/features/users/sign_in_spec.rb[1:2]                    | failed  | 0.12848 seconds |
./spec/features/users/sign_in_spec.rb[1:3]                    | failed  | 0.13856 seconds |
./spec/features/users/sign_in_spec.rb[1:4]                    | failed  | 0.1354 seconds  |
./spec/features/users/sign_out_spec.rb[1:1]                   | failed  | 0.11975 seconds |
./spec/features/users/user_delete_spec.rb[1:1]                | pending | 0.11271 seconds |
./spec/features/users/user_edit_spec.rb[1:1]                  | failed  | 1.07 seconds    |
./spec/features/users/user_edit_spec.rb[1:2]                  | failed  | 1.73 seconds    |
./spec/features/users/user_index_spec.rb[1:1]                 | failed  | 0.00808 seconds |
./spec/features/users/user_show_spec.rb[1:1]                  | failed  | 0.11499 seconds |
./spec/features/users/user_show_spec.rb[1:2]                  | failed  | 0.1337 seconds  |
./spec/features/visitors/about_page_spec.rb[1:1]              | failed  | 1.07 seconds    |
./spec/features/visitors/home_page_spec.rb[1:1]               | failed  | 0.01237 seconds |
./spec/features/visitors/navigation_spec.rb[1:1]              | failed  | 0.01443 seconds |
./spec/features/visitors/sign_up_spec.rb[1:1]                 | failed  | 1.54 seconds    |
./spec/features/visitors/sign_up_spec.rb[1:2]                 | failed  | 0.95796 seconds |
./spec/features/visitors/sign_up_spec.rb[1:3]                 | failed  | 1.2 seconds     |
./spec/features/visitors/sign_up_spec.rb[1:4]                 | failed  | 1.79 seconds    |
./spec/features/visitors/sign_up_spec.rb[1:5]                 | failed  | 1.11 seconds    |
./spec/features/visitors/sign_up_spec.rb[1:6]                 | failed  | 1.08 seconds    |
./spec/helpers/stores_helper_spec.rb[1:1]                     | pending | 0.00002 seconds |
./spec/models/favorite_spec.rb[1:1]                           | pending | 0.00001 seconds |
./spec/models/image_spec.rb[1:1]                              | pending | 0.00001 seconds |
./spec/models/order_spec.rb[1:1]                              | pending | 0.00001 seconds |
./spec/models/product_spec.rb[1:1]                            | pending | 0.00002 seconds |
./spec/models/product_spec.rb[1:2:1]                          | passed  | 0.01606 seconds |
./spec/models/purchase_spec.rb[1:1]                           | pending | 0.00002 seconds |
./spec/models/rating_spec.rb[1:1]                             | pending | 0.00001 seconds |
./spec/models/review_spec.rb[1:1]                             | pending | 0.00005 seconds |
./spec/models/step_spec.rb[1:1]                               | pending | 0.00001 seconds |
./spec/models/store_spec.rb[1:1]                              | passed  | 0.01721 seconds |
./spec/models/subscription_spec.rb[1:1]                       | pending | 0.00002 seconds |
./spec/models/user_spec.rb[1:1]                               | passed  | 0.00271 seconds |
./spec/models/user_spec.rb[1:2]                               | passed  | 0.00315 seconds |
